Type_of_Security,spread,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
20yr TBA Eligible,-1.9893164556962024,0.0015164623324675666,0.0011999934000583856,0.001407658606178419,4732
20yr TBA Eligible,-1.9439430379746834,0.0015753542274484645,0.0011999934000583856,0.0015342037442134249,4732
20yr TBA Eligible,-1.8985696202531643,0.0016462820629427057,0.0011999934000583856,0.0016348956552780791,4732
20yr TBA Eligible,-1.8531962025316453,0.0017310659194608427,0.0011999934000583856,0.001743788256436396,4732
20yr TBA Eligible,-1.8078227848101265,0.0018341545403233919,0.0011999934000583856,0.0019718610607344367,4732
20yr TBA Eligible,-1.7624493670886072,0.0019567297862922565,0.0011999934000583856,0.0021698451114549044,4732
20yr TBA Eligible,-1.7170759493670884,0.002096987764311514,0.0011999934000583856,0.0023168213813207217,4732
20yr TBA Eligible,-1.6717025316455691,0.0022657202364894996,0.0011999934000583856,0.00253139014195769,4732
20yr TBA Eligible,-1.6263291139240503,0.0024724874018023438,0.0011999934000583856,0.002810933238983626,4732
20yr TBA Eligible,-1.580955696202531,0.002721399996894693,0.0011999934000583856,0.003326695668504076,4732
20yr TBA Eligible,-1.5355822784810123,0.0030275513676952977,0.0011999934000583856,0.0036421959303090112,4732
20yr TBA Eligible,-1.4902088607594934,0.0034019870178083056,0.0011999934000583856,0.004036688409511657,4732
20yr TBA Eligible,-1.4448354430379742,0.003852256739442875,0.0011999934000583856,0.004532971154291854,4732
20yr TBA Eligible,-1.3994620253164554,0.0044041599758865,0.0011999934000583856,0.005424707481094249,4732
20yr TBA Eligible,-1.354088607594936,0.005081628928949768,0.0011999934000583856,0.006006370176725451,4732
20yr TBA Eligible,-1.3087151898734173,0.005911600967680103,0.0011999934000583856,0.0067794154277600605,4732
20yr TBA Eligible,-1.2633417721518985,0.006910777509636956,0.0011999934000583856,0.007874214409975266,4732
20yr TBA Eligible,-1.2179683544303792,0.008109647311070604,0.0011999934000583856,0.009397644690978257,4732
20yr TBA Eligible,-1.1725949367088604,0.009548879646419291,0.0011999934000583856,0.011378116594784604,4732
20yr TBA Eligible,-1.1272215189873411,0.01126353103555232,0.0011999934000583856,0.013888995749733457,4732
20yr TBA Eligible,-1.0818481012658223,0.013301883924575476,0.0011999934000583856,0.0165806141534941,4732
20yr TBA Eligible,-1.036474683544303,0.015776053153513218,0.0011999934000583856,0.02064785795852231,4732
20yr TBA Eligible,-0.9911012658227842,0.01879384393149282,0.0011999934000583856,0.025578364781686513,4732
20yr TBA Eligible,-0.9457278481012654,0.02251910973348544,0.0011999934000583856,0.03229399589367299,4732
20yr TBA Eligible,-0.9003544303797462,0.02710939437182413,0.0011999934000583856,0.0407456427576558,4732
20yr TBA Eligible,-0.8549810126582273,0.032799257295544414,0.0011999934000583856,0.05195344667113799,4732
20yr TBA Eligible,-0.8096075949367081,0.03986865671022204,0.0016811523135040751,0.06780572054662093,4732
20yr TBA Eligible,-0.7642341772151893,0.04864538257344977,0.002400143272118793,0.08466082237886807,4732
20yr TBA Eligible,-0.71886075949367,0.059359484042972824,0.0033453978757647107,0.10652634293891738,4732
20yr TBA Eligible,-0.6734873417721512,0.07179743665129307,0.005021949074479615,0.13203973649659195,4732
20yr TBA Eligible,-0.6281139240506324,0.08592154390584691,0.007464575908866511,0.151276932496891,4732
20yr TBA Eligible,-0.5827405063291131,0.1017741417295524,0.010515772576125126,0.17459542470872336,4732
20yr TBA Eligible,-0.5373670886075943,0.11964706858836585,0.014262281362387164,0.19778446171228037,4732
20yr TBA Eligible,-0.49199367088607504,0.13973301271440622,0.019184659725446362,0.22751657906268097,4732
20yr TBA Eligible,-0.4466202531645562,0.16210489953068344,0.02576130981075675,0.26197047518119465,4732
20yr TBA Eligible,-0.4012468354430374,0.18431705679825858,0.0345213517198073,0.29811762718827683,4732
20yr TBA Eligible,-0.35587341772151815,0.20688354867017528,0.04447057838183888,0.3213470770546456,4732
20yr TBA Eligible,-0.31049999999999933,0.2280224594192772,0.05057589758977743,0.34622410788169855,4732
30yr TBA Eligible,-3.9730000000000003,0.464304896214154,0.4178338624454381,0.525692511153586,14544
30yr TBA Eligible,-3.907715189873418,0.44389708571317377,0.4095798874890977,0.5140386117253537,14544
30yr TBA Eligible,-3.8424303797468355,0.4180930501986019,0.3636663820485664,0.5101998393478802,14544
30yr TBA Eligible,-3.7771455696202536,0.3924143780892749,0.316421090954333,0.4937762879339447,14544
30yr TBA Eligible,-3.7118607594936712,0.36715395212463386,0.2665926595761592,0.47562056347022486,14544
30yr TBA Eligible,-3.646575949367089,0.3429721393308033,0.2285904844504194,0.45487193779302215,14544
30yr TBA Eligible,-3.5812911392405065,0.31981786056218203,0.1971400890436792,0.4338983071894731,14544
30yr TBA Eligible,-3.5160063291139245,0.2986080029739511,0.1710348176962806,0.4151827114509232,14544
30yr TBA Eligible,-3.450721518987342,0.2795963188936354,0.14802650780979532,0.3984362080373227,14544
30yr TBA Eligible,-3.3854367088607598,0.2619210320559526,0.1278557903195865,0.3798873072450748,14544
30yr TBA Eligible,-3.3201518987341774,0.24554942852921474,0.11156630281056179,0.3641646346805416,14544
30yr TBA Eligible,-3.254867088607595,0.23093834314615122,0.09856255844381545,0.349090152343412,14544
30yr TBA Eligible,-3.189582278481013,0.21813780713947134,0.08831427709071749,0.3348384268912319,14544
30yr TBA Eligible,-3.1242974683544307,0.20698360389540268,0.07893177480822189,0.3226471045200796,14544
30yr TBA Eligible,-3.0590126582278483,0.19723128068392176,0.07133550594740079,0.30866750313456315,14544
30yr TBA Eligible,-2.993727848101266,0.18885368878573663,0.06596495962455373,0.2970749595962996,14544
30yr TBA Eligible,-2.9284430379746835,0.18164570301533825,0.06156182237923025,0.2861883929410891,14544
30yr TBA Eligible,-2.8631582278481016,0.17552357971477783,0.05796962331355848,0.27791533689596193,14544
30yr TBA Eligible,-2.797873417721519,0.17030787318841129,0.055097854253438605,0.27155741838992276,14544
30yr TBA Eligible,-2.732588607594937,0.16594321219888863,0.052946934096076426,0.26618781436201777,14544
30yr TBA Eligible,-2.667303797468355,0.16237935369306813,0.05118564432274875,0.2617860144701889,14544
30yr TBA Eligible,-2.602018987341772,0.1595329626281657,0.05017022262285842,0.25805521536143017,14544
30yr TBA Eligible,-2.53673417721519,0.15735773245794718,0.04935212328846528,0.2553007321239309,14544
30yr TBA Eligible,-2.4714493670886077,0.15581871595819838,0.04911254687075539,0.25350206414797016,14544
30yr TBA Eligible,-2.4061645569620254,0.15489232950244664,0.0483436050159991,0.2524192246460055,14544
30yr TBA Eligible,-2.3408797468354434,0.1544712884713314,0.04890900242043861,0.25182439178758065,14544
30yr TBA Eligible,-2.2755949367088606,0.15458195236511393,0.049559437687440866,0.2516040662643326,14544
30yr TBA Eligible,-2.2103101265822787,0.15521241504991362,0.05051316500462866,0.25191576391742077,14544
30yr TBA Eligible,-2.1450253164556963,0.15629753970279364,0.05131452347650889,0.2529664677085153,14544
30yr TBA Eligible,-2.079740506329114,0.15785897406127986,0.0533226780369489,0.25474164478558325,14544
30yr TBA Eligible,-2.014455696202532,0.1598970830867101,0.05522021456511039,0.25735657723565675,14544
30yr TBA Eligible,-1.9491708860759496,0.162403487972738,0.05757198719157364,0.26084035162129426,14544
30yr TBA Eligible,-1.8838860759493672,0.16536391097062694,0.06040687132078393,0.26476252449950666,14544
30yr TBA Eligible,-1.8186012658227848,0.16879239432075022,0.06378946168695832,0.2686858218963195,14544
30yr TBA Eligible,-1.7533164556962024,0.1726682900953659,0.06696158404551067,0.2731714157785059,14544
30yr TBA Eligible,-1.6880316455696205,0.1770340753888891,0.07064387672937045,0.27830408005443674,14544
30yr TBA Eligible,-1.622746835443038,0.18194444214571825,0.07495369028373,0.2837468668916654,14544
30yr TBA Eligible,-1.5574620253164557,0.18740470109830867,0.0805143287818555,0.28855779788312663,14544
30yr TBA Eligible,-1.4921772151898733,0.19344246117579694,0.0860099473039111,0.29286761210938206,14544
30yr TBA Eligible,-1.4268924050632914,0.19997732332317641,0.09196694416211404,0.29735922685837357,14544
30yr TBA Eligible,-1.361607594936709,0.20697406053189243,0.09919038769717892,0.30332303713149766,14544
30yr TBA Eligible,-1.2963227848101266,0.21438766853258193,0.10774563878606092,0.3100186978659547,14544
30yr TBA Eligible,-1.2310379746835443,0.22215108668307265,0.11697612053870321,0.3175327479997936,14544
30yr TBA Eligible,-1.1657531645569619,0.2303555575900413,0.12977495481484302,0.3261432322711033,14544
30yr TBA Eligible,-1.10046835443038,0.2391079988485053,0.14139749090665843,0.33690020724381764,14544
30yr TBA Eligible,-1.0351835443037976,0.24844687877653981,0.15414677439569147,0.34617400828725886,14544
30yr TBA Eligible,-0.9698987341772152,0.25818660485452066,0.16377052259468616,0.3569095240100517,14544
30yr TBA Eligible,-0.9046139240506328,0.26821485842172826,0.17519993143100265,0.3689087151229842,14544
30yr TBA Eligible,-0.8393291139240504,0.27855613844503474,0.1840864549568222,0.38022128499088925,14544
30yr TBA Eligible,-0.7740443037974685,0.28991280244654294,0.19567566503015943,0.39287536439768234,14544
30yr TBA Eligible,-0.7087594936708861,0.30239686752403505,0.20823971743557657,0.409803271816922,14544
30yr TBA Eligible,-0.6434746835443037,0.3164577759043785,0.22162583192653074,0.43117457989914065,14544
30yr TBA Eligible,-0.5781898734177213,0.3315040068972326,0.23288244054868734,0.4510127772395012,14544
30yr TBA Eligible,-0.5129050632911394,0.34723171679616754,0.23905662125011107,0.47313601423821794,14544
30yr TBA Eligible,-0.447620253164557,0.36357238387103974,0.25133990857818533,0.49673754083356947,14544
30yr TBA Eligible,-0.3823354430379746,0.3804764734544545,0.26608354659010125,0.5174439296662503,14544
30yr TBA Eligible,-0.31705063291139224,0.39874166176959086,0.28386931328180376,0.5400697198056248,14544
30yr TBA Eligible,-0.25176582278480986,0.4183019795363843,0.2937075705418679,0.5637296873037267,14544
30yr TBA Eligible,-0.18648101265822792,0.4401768962922959,0.30413053124876965,0.5872271147978836,14544
30yr TBA Eligible,-0.12119620253164554,0.4681401179492471,0.315412112761948,0.6100628090188298,14544
30yr TBA Eligible,-0.055911392405063154,0.5004700644690608,0.3393216525466425,0.6463162552353241,14544
30yr TBA Eligible,0.009373417721519228,0.5369774866420454,0.35897755039928647,0.683197375093636,14544
30yr TBA Eligible,0.07465822784810117,0.577098361460124,0.3845324262143235,0.7388834166412117,14544
30yr TBA Eligible,0.139943037974684,0.6193759130502103,0.4159712437279195,0.7836694194256921,14544
30yr TBA Eligible,0.20522784810126593,0.661999852528956,0.4421149558264559,0.8468188015473777,14544
30yr TBA Eligible,0.27051265822784787,0.7052996332208088,0.4601798092168874,0.9157035924410861,14544
30yr TBA Eligible,0.3357974683544307,0.7509213119757818,0.47173598672638484,0.9928438366224146,14544
30yr TBA Eligible,0.40108227848101263,0.8001876365846831,0.49710455278472176,1.0841598825165444,14544
30yr TBA Eligible,0.46636708860759546,0.8516987055051498,0.5210775019016567,1.1588063741148984,14544
30yr TBA Eligible,0.5316518987341774,0.9049864936424884,0.5426517817294529,1.2504263115463599,14544
30yr TBA Eligible,0.5969367088607593,0.953906624075172,0.563115319251839,1.353353355362874,14544
30yr TBA Eligible,0.6622215189873422,1.0006542590585514,0.5927420380736681,1.406998265374193,14544
30yr TBA Eligible,0.7275063291139241,1.0459122052559686,0.6271866483501198,1.4508803887977595,14544
30yr TBA Eligible,0.7927911392405069,1.0890716268544767,0.664525773078728,1.4740174858852484,14544
30yr TBA Eligible,0.8580759493670889,1.1328586839371837,0.6979499216136276,1.5034276802054047,14544
30yr TBA Eligible,0.9233607594936708,1.176637014561689,0.7229601127257457,1.549205080545779,14544
30yr TBA Eligible,0.9886455696202536,1.217076515718883,0.7411495893434039,1.575344761576536,14544
30yr TBA Eligible,1.0539303797468356,1.2529862331530188,0.7607560150103998,1.6116873891522943,14544
30yr TBA Eligible,1.1192151898734175,1.2853693005208062,0.8116363347476341,1.6494849144813584,14544
30yr TBA Eligible,1.1844999999999999,1.3164195493945159,0.8168241462389703,1.7156328376875085,14544
