month,cf_down,cf_base,cf_up
291,0.11882970893491915,0.02684163631603803,0.001962668800558044
292,0.11906918505105625,0.02687257698018286,0.0019304863539801943
293,0.11933340037717563,0.026594067190783985,0.0018709183937673079
294,0.11866948997523094,0.02622182973736131,0.0017671348800010168
295,0.11775256515164471,0.02551825884766273,0.001662163421915835
296,0.1177748046299945,0.025744534275996826,0.001682450067661277
297,0.11720380254846878,0.02537500886940468,0.0016501267378402236
298,0.11824835856352899,0.025852942295229085,0.0016670809101517199
299,0.11920269523204287,0.025883424550517842,0.0016336861970496959
300,0.11862980503887975,0.025495021116503296,0.0016395060210028587
301,0.11895622878087984,0.02537480566991932,0.0016150932133301534
302,0.11586214118723952,0.024759573102341368,0.0016256641189719458
303,0.115210445809657,0.02485306277441585,0.001688272811150443
304,0.11538670421851238,0.0251212744287709,0.0016971181551593162
305,0.11458503587656035,0.02477683248303539,0.0016528770273578784
306,0.11398288382675044,0.024500289819607744,0.0016322804293304757
307,0.11460471145711497,0.024918366555923242,0.0016476784372951854
308,0.11397854570046183,0.02490863114070206,0.001586973625307756
309,0.11207786162819117,0.024490084428441947,0.001560216484291257
310,0.11086044635761394,0.02408929613876694,0.0015865922259086858
311,0.11103725060858759,0.02422144564290998,0.0015612966740253793
312,0.11014987680110698,0.0238205995972774,0.0015141188634933448
313,0.11008999405870365,0.024312786934898755,0.0015018946396075964
314,0.10905079613752752,0.023910677569825633,0.0014700203360856244
315,0.10961711015437134,0.024173267253752642,0.001472055095810919
316,0.10769724698305297,0.023007548604573123,0.0014384517172747128
317,0.10797782466000876,0.02319178423131982,0.0013973199687852232
318,0.10857183047317226,0.023612022761212822,0.0013982228171642646
319,0.10784792027378089,0.02323316570590256,0.0013799698349276587
320,0.10902319686374952,0.023755435704073142,0.001417591140497652
321,0.10920746632564127,0.024088782549983704,0.0015040646798518292
322,0.10843945560819584,0.023585054970379014,0.0014578981969155234
323,0.1069602993347575,0.022957821839789526,0.001402561944664865
324,0.10547167719442228,0.02266009992604835,0.0014538809404687977
325,0.1049807364354882,0.02225104883505259,0.0013954933783509038
326,0.10411685035452897,0.021670698016690745,0.0012898123243755765
327,0.10250280824640219,0.02089697262822021,0.0012069500552901204
