month,beg_balance,interest,scheduled_principal,prepay_principal,total_principal,total_cashflow,end_balance
77,0.7114153410813449,0.002964230587838937,0.003911502115623657,0.0003169518276789628,0.00422845394330262,0.007192684531141557,0.7071868871380422
78,0.7071868871380422,0.0029466120297418426,0.0039291206737207506,0.00037373421706531513,0.004302854890786066,0.007249466920527909,0.7028840322472562
79,0.7028840322472562,0.002928683467696901,0.003947049235765693,0.0003753206165179693,0.004322369852283662,0.007251053319980563,0.6985616623949725
80,0.6985616623949725,0.0029106735933123857,0.003965059110150208,0.00034986210670617644,0.004314921216856385,0.007225594810168771,0.6942467411781161
81,0.6942467411781161,0.0028926947549088172,0.003983037948553776,0.000373223117877984,0.00435626106643176,0.007248955821340578,0.6898904801116844
82,0.6898904801116844,0.0028745436671320183,0.004001189036330575,0.00039404397909985583,0.004395233015430431,0.00726977668256245,0.685495247096254
83,0.685495247096254,0.0028562301962343916,0.004019502507228202,0.00041100372357145287,0.004430506230799654,0.0072867364270340455,0.6810647408654543
84,0.6810647408654543,0.0028377697536060595,0.0040379629498565345,0.0004532090282956621,0.004491171978152197,0.007328941731758257,0.6765735688873021
85,0.6765735688873021,0.0028190565370304257,0.004056676166432168,0.00045850169284131453,0.004515177859273483,0.007334234396303908,0.6720583910280287
86,0.6720583910280287,0.0028002432959501194,0.004075489407512474,0.00045672619375236416,0.004532215601264838,0.007332458897214958,0.6675261754267638
87,0.6675261754267638,0.0027813590642781828,0.00409437363918441,0.00043498625566564864,0.004529359894850059,0.007310718959128241,0.6629968155319138
88,0.6629968155319138,0.0027624867313829743,0.00411324597207962,0.0004166908885020741,0.004529936860581694,0.0072924235919646675,0.6584668786713321
89,0.6584668786713321,0.002743611994463884,0.00413212070899871,0.00041086569510613986,0.00454298640410485,0.007286598398568734,0.6539238922672272
90,0.6539238922672272,0.00272468288444678,0.004151049819015814,0.0004019951484023584,0.0045530449674181725,0.007277727851864953,0.6493708472998091
91,0.6493708472998091,0.0027057118637492045,0.004170020839713389,0.00034764024228468475,0.004517661081998074,0.007223372945747279,0.6448531862178111
92,0.6448531862178111,0.002686888275907546,0.0041888444275550475,0.0004090312101274548,0.004597875637682503,0.007284763913590049,0.6402553105801285
93,0.6402553105801285,0.0026677304607505355,0.004208002242712058,0.0004959433356503368,0.004703945578362395,0.0073716760391129305,0.6355513650017661
94,0.6355513650017661,0.0026481306875073586,0.004227602015955235,0.0005594578565689712,0.004787059872524206,0.007435190560031565,0.6307643051292419
95,0.6307643051292419,0.0026281846047051744,0.004247548098757419,0.0005772896594509763,0.004824837758208396,0.00745302236291357,0.6259394673710335
96,0.6259394673710335,0.0026080811140459727,0.0042676515894166205,0.0005763657826256362,0.004844017372042256,0.0074520984860882294,0.6210954499989912
97,0.6210954499989912,0.00258789770832913,0.004287834995133463,0.0005365510916231832,0.004824386086756647,0.007412283795085777,0.6162710639122346
98,0.6162710639122346,0.002567796099634311,0.004307936603828283,0.0005175735032813267,0.004825510107109609,0.00739330620674392,0.611445553805125
99,0.611445553805125,0.002547689807521354,0.004328042895941239,0.00044895495736572034,0.00477699785330696,0.007324687660828314,0.606668555951818
100,0.606668555951818,0.0025277856497992416,0.004347947053663352,0.0004709827442956764,0.004818929797959028,0.00734671544775827,0.601849626153859
101,0.601849626153859,0.002507706775641079,0.004368025927821515,0.0004144154579190882,0.004782441385740604,0.007290148161381682,0.5970671847681184
102,0.5970671847681184,0.0024877799365338265,0.0043879527669287675,0.00044577753366763803,0.004833730300596406,0.007321510237130232,0.592233454467522
103,0.592233454467522,0.002467639393614675,0.004408093309847918,0.0003822594853225485,0.004790352795170467,0.007257992188785142,0.5874431016723515
104,0.5874431016723515,0.0024476795903014643,0.004428053113161129,0.00034865558304363823,0.004776708696204768,0.007224388286506232,0.5826663929761468
105,0.5826663929761468,0.0024277766374006114,0.004447956066061982,0.00039741187672525936,0.004845367942787241,0.007273144580187853,0.5778210250333595
106,0.5778210250333595,0.0024075876043056646,0.004468145099156929,0.00038697437735372406,0.004855119476510653,0.007262707080816317,0.5729659055568489
107,0.5729659055568489,0.0023873579398202035,0.0044883747636423905,0.0003720968797909575,0.004860471643433348,0.007247829583253552,0.5681054339134155
108,0.5681054339134155,0.0023671059746392313,0.004508626728823363,0.00037268107588875007,0.004881307804712113,0.007248413779351344,0.5632241261087034
109,0.5632241261087034,0.0023467671921195976,0.004528965511342996,0.0003319201935014402,0.004860885704844436,0.007207652896964034,0.558363240403859
110,0.558363240403859,0.002326513501682746,0.004549219201779848,0.0003018432293515972,0.004851062431131445,0.007177575932814191,0.5535121779727276
111,0.5535121779727276,0.0023063007415530315,0.004569431961909562,0.00029313461880713007,0.004862566580716692,0.007168867322269724,0.5486496113920108
112,0.5486496113920108,0.002286040047466712,0.004589692655995882,0.0002587247767675125,0.004848417432763394,0.007134457480230106,0.5438011939592474
113,0.5438011939592474,0.0022658383081635308,0.004609894395299062,0.0002407996282381647,0.004850694023537227,0.007116532331700757,0.5389504999357102
114,0.5389504999357102,0.002245627083065459,0.0046301056203971345,0.00022383335180308604,0.004853938972200221,0.00709956605526568,0.53409656096351
115,0.53409656096351,0.002225402337347958,0.004650330366114635,0.00019495686603363983,0.004845287232148276,0.007070689569496234,0.5292512737313617
116,0.5292512737313617,0.0022052136405473406,0.004670519062915253,0.00018322565170841282,0.004853744714623665,0.007058958355171006,0.5243975290167381
117,0.5243975290167381,0.002184989704236409,0.004690742999226185,0.00020499186782829004,0.004895734867054475,0.007080724571290884,0.5195017941496836
118,0.5195017941496836,0.0021645908089570147,0.004711141894505579,0.00017139120401391192,0.004882533098519491,0.007047123907476506,0.5146192610511641
119,0.5146192610511641,0.002144246921046517,0.004731485782416077,0.00023154764590459679,0.004963033428320674,0.00710728034936719,0.5096562276228433
120,0.5096562276228433,0.0021235676150951808,0.004752165088367413,0.00022625993867936452,0.004978425027046778,0.007101992642141959,0.5046778025957965
121,0.5046778025957965,0.0021028241774824854,0.004772908525980108,0.00021807063127348016,0.004990979157253588,0.007093803334736073,0.4996868234385429
122,0.4996868234385429,0.002082028430993929,0.004793704272468665,0.00019971045913417049,0.0049934147316028354,0.007075443162596765,0.4946934087069401
123,0.4946934087069401,0.0020612225362789172,0.004814510167183676,0.00019094457700272681,0.005005454744186403,0.00706667728046532,0.4896879539627537
124,0.4896879539627537,0.002040366474844807,0.004835366228617787,0.00015996118400966563,0.004995327412627452,0.00703569388747226,0.4846926265501263
125,0.4846926265501263,0.0020195526106255263,0.004856180092837068,0.00017701539677161834,0.005033195489608686,0.007052748100234213,0.4796594310605176
126,0.4796594310605176,0.001998580962752157,0.004877151740710437,0.00017651444685298009,0.005053666187563417,0.0070522471503155736,0.4746057648729542
127,0.4746057648729542,0.001977524020303976,0.004898208683158618,0.00014595035936462378,0.005044159042523241,0.007021683062827217,0.46956160583043094
128,0.46956160583043094,0.0019565066909601287,0.004919226012502465,0.0001351115259299422,0.005054337538432407,0.007010844229392536,0.4645072682919985
129,0.4645072682919985,0.0019354469512166605,0.004940285752245933,0.00018660366727240817,0.005126889419518341,0.0070623363707350015,0.4593803788724802
130,0.4593803788724802,0.0019140849119686674,0.004961647791493926,0.00019932694670457015,0.005160974738198497,0.007075059650167164,0.4542194041342817
131,0.4542194041342817,0.001892580850559507,0.004983151852903087,0.0002058289298981982,0.005188980782801285,0.007081561633360792,0.4490304233514804
132,0.4490304233514804,0.001870960097297835,0.005004772606164758,0.0001974788982118871,0.005202251504376645,0.0070732116016744805,0.44382817184710377
133,0.44382817184710377,0.0018492840493629324,0.005026448654099661,0.0001847568602907968,0.005211205514390457,0.00706048956375339,0.4386169663327133
134,0.4386169663327133,0.0018275706930529721,0.005048162010409621,0.00018031706519902916,0.005228479075608651,0.007056049768661623,0.43338848725710466
135,0.43338848725710466,0.0018057853635712693,0.005069947339891324,0.0001620578747390114,0.005232005214630336,0.007037790578201605,0.4281564820424743
136,0.4281564820424743,0.0017839853418436429,0.005091747361618951,0.00013575869553468186,0.005227506057153632,0.007011491398997275,0.4229289759853207
137,0.4229289759853207,0.0017622040666055029,0.0051135286368570905,0.00014455529305596972,0.00525808392991306,0.007020287996518563,0.41767089205540764
138,0.41767089205540764,0.0017402953835641984,0.005135437319898396,0.00012760610724000672,0.005263043427138402,0.0070033388107026,0.41240784862826924
139,0.41240784862826924,0.0017183660359511219,0.0051573666675114715,0.00010809181134962448,0.005265458478861096,0.0069838245148122185,0.4071423901494081
140,0.4071423901494081,0.0016964266256225338,0.00517930607784006,0.00011460974278617247,0.0052939158206262325,0.006990342446248766,0.4018484743287819
141,0.4018484743287819,0.0016743686430365913,0.005201364060426003,0.00010753081922026599,0.005308894879646269,0.0069832635226828605,0.39653957944913565
142,0.39653957944913565,0.0016522482477047318,0.005223484455757862,0.00012320516465018298,0.005346689620408044,0.006998937868112776,0.39119288982872763
143,0.39119288982872763,0.001629970374286365,0.005245762329176229,0.0001168667658280228,0.005362629095004252,0.006992599469290617,0.3858302607337234
144,0.3858302607337234,0.0016076260863905141,0.005268106617072079,0.00010554617756552113,0.0053736527946376,0.006981278881028114,0.3804566079390858
145,0.3804566079390858,0.0015852358664128574,0.005290496837049736,9.681149603731872e-05,0.005387308333087055,0.006972544199499912,0.3750692996059988
146,0.3750692996059988,0.0015627887483583283,0.005312943955104265,9.169161085600882e-05,0.005404635565960274,0.006967424314318602,0.3696646640400385
147,0.3696646640400385,0.0015402694335001604,0.005335463269962433,7.985578234853574e-05,0.005415319052310969,0.00695558848581113,0.36424934498772754
148,0.36424934498772754,0.0015177056041155313,0.005358027099347062,7.291448755405446e-05,0.005430941586901117,0.006948647191016648,0.35881840340082644
149,0.35881840340082644,0.0014950766808367768,0.005380656022625817,8.065014685026617e-05,0.005461306169476083,0.006956382850312861,0.35335709723135034
150,0.35335709723135034,0.0014723212384639597,0.005403411464998634,6.874124496329883e-05,0.005472152709961932,0.006944473948425892,0.3478849445213884
151,0.3478849445213884,0.0014495206021724516,0.005426212101290142,6.195723702426362e-05,0.005488169338314405,0.006937689940486857,0.342396775183074
152,0.342396775183074,0.001426653229929475,0.005449079473533119,5.437578522416026e-05,0.0055034552587572795,0.006930108488686754,0.3368933199243167
153,0.3368933199243167,0.0014037221663513195,0.005472010537111274,6.522667406625124e-05,0.0055372372111775255,0.006940959377528845,0.33135608271313916
154,0.33135608271313916,0.0013806503446380798,0.005495082358824514,6.491126310426762e-05,0.005559993621928781,0.006940643966566861,0.3257960890912104
155,0.3257960890912104,0.0013574837045467099,0.005518248998915884,6.019614139362776e-05,0.005578445140309512,0.0069359288448562215,0.32021764395090085
156,0.32021764395090085,0.0013342401831287535,0.0055414925203338405,5.7291083618450804e-05,0.005598783603952291,0.006933023787081044,0.3146188603469486
157,0.3146188603469486,0.0013109119181122857,0.005564820785350308,5.710494999776756e-05,0.005621925735348076,0.006932837653460361,0.3089969346116005
158,0.3089969346116005,0.0012874872275483353,0.005588245475914258,4.968439706985313e-05,0.005637929872984111,0.006925417100532447,0.3033590047386164
159,0.3033590047386164,0.0012639958530775682,0.005611736850385025,4.3909899214547274e-05,0.005655646749599573,0.006919642602677141,0.2977033579890168
160,0.2977033579890168,0.0012404306582875701,0.0056353020451750235,4.0187081631103346e-05,0.005675489126806127,0.006915919785093697,0.29202786886221066
161,0.29202786886221066,0.0012167827869258778,0.005658949916536716,3.743142656903607e-05,0.0056963813431057525,0.006913164130031631,0.2863314875191049
162,0.2863314875191049,0.0011930478646629372,0.005682684838799657,3.0317165021955263e-05,0.005713002003821612,0.006906049868484549,0.2806184855152833
163,0.2806184855152833,0.0011692436896470137,0.00570648901381558,2.7589385789168443e-05,0.005734078399604749,0.006903322089251762,0.2748844071156785
164,0.2748844071156785,0.0011453516963153272,0.005730381007147267,3.305131909592102e-05,0.005763432326243188,0.006908784022558515,0.2691209747894353
165,0.2691209747894353,0.0011213373949559805,0.005754395308506613,3.633717634717496e-05,0.005790732484853788,0.006912069879809768,0.2633302423045815
166,0.2633302423045815,0.0010972093429357562,0.005778523360526837,3.979999346908039e-05,0.005818323353995918,0.006915532696931674,0.2575119189505856
167,0.2575119189505856,0.0010729663289607734,0.00580276637450182,4.066061750499551e-05,0.005843426992006816,0.006916393320967589,0.2516684919585788
168,0.2516684919585788,0.0010486187164940783,0.005827113986968516,3.883364000066671e-05,0.005865947626969182,0.00691456634346326,0.24580254433160964
169,0.24580254433160964,0.0010241772680483735,0.00585155543541422,3.657336938616432e-05,0.005888128804800385,0.006912306072848758,0.23991441552680925
170,0.23991441552680925,0.000999643398028372,0.0058760893054342215,3.41745988652864e-05,0.0059102639042995075,0.00690990730232788,0.23400415162250976
171,0.23400415162250976,0.000975017298427124,0.0059007154050354695,3.693147718321161e-05,0.005937646882218681,0.006912664180645805,0.22806650474029108
172,0.22806650474029108,0.0009502771030845461,0.005925455600378047,3.595206348555241e-05,0.0059614076638636,0.006911684766948146,0.22210509707642748
173,0.22210509707642748,0.0009254379044851145,0.005950294798977479,3.2156921922910804e-05,0.0059824517209003895,0.006907889625385504,0.21612264535552708
174,0.21612264535552708,0.0009005110223146962,0.005975221681147898,2.6933012093287588e-05,0.006002154693241186,0.0069026657155558824,0.21012049066228589
175,0.21012049066228589,0.0008755020444261911,0.006000230659036402,2.4726106840866873e-05,0.006024956765877269,0.0069004588103034606,0.2040955338964086
176,0.2040955338964086,0.0008503980579017026,0.0060253346455608914,2.4772413856266676e-05,0.006050107059417158,0.006900505117318861,0.19804542683699145
177,0.19804542683699145,0.0008251892784874644,0.006050543424975129,2.764975399843367e-05,0.0060781931789735625,0.006903382457461027,0.19196723365801788
178,0.19196723365801788,0.0007998634735750745,0.006075869229887519,2.5944725517201886e-05,0.006101813955404721,0.006901677428979795,0.18586541970261317
179,0.18586541970261317,0.0007744392487608882,0.006101293454701706,2.9564286176192854e-05,0.006130857740877899,0.006905296989638788,0.17973456196173526
180,0.17973456196173526,0.000748894008173897,0.006126838695288696,2.9613342289165486e-05,0.006156452037577862,0.006905346045751759,0.1735781099241574
181,0.1735781099241574,0.0007232421246839892,0.006152490578778604,2.894022323344368e-05,0.006181430802012048,0.006904672926696037,0.16739667912214534
182,0.16739667912214534,0.0006974861630089389,0.006178246540453655,2.6442867988878037e-05,0.006204689408442533,0.006902175571451471,0.1611919897137028
183,0.1611919897137028,0.0006716332904737616,0.006204099412988832,2.5891485512070133e-05,0.006229990898500902,0.0069016241889746635,0.1549619988152019
184,0.1549619988152019,0.0006456749950633412,0.006230057708399252,2.219432403875536e-05,0.006252252032438008,0.006897927027501349,0.14870974678276389
185,0.14870974678276389,0.0006196239449281828,0.0062561087585344104,2.137648438738547e-05,0.006277485242921796,0.006897109187849979,0.1424322615398421
186,0.1424322615398421,0.0005934677564160087,0.0062822649470465845,1.6361476176015964e-05,0.0062986264232226,0.006892094179638609,0.1361336351166195
187,0.1361336351166195,0.0005672234796525813,0.0063085092238100125,1.675731489613245e-05,0.006325266538706145,0.006892490018358726,0.12980836857791334
188,0.12980836857791334,0.0005408682024079722,0.006334864501054621,1.976807837140532e-05,0.006354632579426027,0.006895500781833999,0.1234537359984873
189,0.1234537359984873,0.0005143905666603638,0.00636134213680223,1.6499158265642534e-05,0.0063778412950678725,0.006892231861728236,0.11707589470341943
190,0.11707589470341943,0.0004878162279309143,0.0063879164755316796,1.7768595296755026e-05,0.006405685070828435,0.006893501298759349,0.110670209632591
191,0.110670209632591,0.00046112587346912917,0.006414606829993464,1.7251520433781507e-05,0.006431858350427246,0.006892984223896375,0.10423835128216376
192,0.10423835128216376,0.00043432646367568234,0.006441406239786911,1.6506082786878644e-05,0.006457912322573789,0.006892238786249472,0.09778043895958997
193,0.09778043895958997,0.00040741849566495824,0.006468314207797635,1.544594709868876e-05,0.006483760154896324,0.006891178650561282,0.09129667880469365
194,0.09129667880469365,0.0003804028283528902,0.006495329875109704,1.3495798192448948e-05,0.006508825673302153,0.006889228501655043,0.0847878531313915
195,0.0847878531313915,0.00035328272138079793,0.006522449982081796,1.259344214849201e-05,0.006535043424230288,0.006888326145611086,0.07825280970716121
196,0.07825280970716121,0.0003260533737798384,0.006549679329682755,1.1127559772597506e-05,0.006560806889455353,0.006886860263235191,0.07169200281770585
197,0.07169200281770585,0.0002987166784071077,0.006577016025055486,8.60949241066995e-06,0.006585625517466156,0.006884342195873264,0.0651063773002397
198,0.0651063773002397,0.0002712765720843321,0.0066044561313782614,7.92706062066865e-06,0.00661238319199893,0.006883659764083262,0.05849399410824077
199,0.05849399410824077,0.00024372497545100321,0.006632007728011591,5.475586950189447e-06,0.00663748331496178,0.006881208290412783,0.05185651079327899
200,0.05185651079327899,0.0002160687949719958,0.0066596639084905975,7.389465792829559e-06,0.006667053374283427,0.006883122169255423,0.04518945741899556
201,0.04518945741899556,0.0001882894059124815,0.006687443297550112,6.529321487038255e-06,0.00669397261903715,0.006882262024949632,0.038495484799958415
202,0.038495484799958415,0.00016039785333316005,0.006715334850129434,5.123658433563984e-06,0.006720458508562998,0.0068808563618961574,0.03177502629139542
203,0.03177502629139542,0.00013239594288081425,0.006743336760581779,3.975811771055501e-06,0.0067473125723528345,0.006879708515233649,0.025027713719042586
