Type_of_Security,spread,model_name,curve_family,slice_name,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
30yr TBA Eligible,-0.8498734177215188,M1,loan_age_slice,high_loan_age,0.2663980954618415,0.2533296455718981,0.2812800078914379,30563
30yr TBA Eligible,-0.7547531645569618,M1,loan_age_slice,high_loan_age,0.2799557876331959,0.26627114513019245,0.29559080096935864,30563
30yr TBA Eligible,-0.6596329113924049,M1,loan_age_slice,high_loan_age,0.2943251163166832,0.2798756607850117,0.31075507276213665,30563
30yr TBA Eligible,-0.5645126582278479,M1,loan_age_slice,high_loan_age,0.30946767326353536,0.29411661750610163,0.32658586323355276,30563
30yr TBA Eligible,-0.46939240506329094,M1,loan_age_slice,high_loan_age,0.325330146700789,0.30901132934975095,0.34320030266262735,30563
30yr TBA Eligible,-0.374272151898734,M1,loan_age_slice,high_loan_age,0.34184243093907174,0.3247015605881809,0.3613413390595177,30563
30yr TBA Eligible,-0.279151898734177,M1,loan_age_slice,high_loan_age,0.35891592126107075,0.3406630147617662,0.3780759265712752,30563
30yr TBA Eligible,-0.18403164556962004,M1,loan_age_slice,high_loan_age,0.3764420974663454,0.35720868760561464,0.3961481295697733,30563
30yr TBA Eligible,-0.08891139240506307,M1,loan_age_slice,high_loan_age,0.3942915110920504,0.37406797501509104,0.41448960465114704,30563
30yr TBA Eligible,0.006208860759493895,M1,loan_age_slice,high_loan_age,0.41231329846313475,0.3904423222644615,0.43302808487927225,30563
30yr TBA Eligible,0.10132911392405086,M1,loan_age_slice,high_loan_age,0.43033534259958184,0.40740588017545987,0.45063404446100686,30563
30yr TBA Eligible,0.19644936708860783,M1,loan_age_slice,high_loan_age,0.44816519990145653,0.42284311437511546,0.46879068692035064,30563
30yr TBA Eligible,0.2915696202531648,M1,loan_age_slice,high_loan_age,0.465591890944587,0.4372935343700646,0.48723914271158186,30563
30yr TBA Eligible,0.38668987341772176,M1,loan_age_slice,high_loan_age,0.48238863884858074,0.45133671872711334,0.5059068235857223,30563
30yr TBA Eligible,0.48181012658227873,M1,loan_age_slice,high_loan_age,0.4983570438905421,0.4655740882692494,0.5247151691179841,30563
30yr TBA Eligible,0.5769303797468357,M1,loan_age_slice,high_loan_age,0.5134275992255258,0.4800830477492912,0.5419396305004875,30563
30yr TBA Eligible,0.6720506329113927,M1,loan_age_slice,high_loan_age,0.5275642560689593,0.4895420708664333,0.5599387397470679,30563
30yr TBA Eligible,0.7671708860759496,M1,loan_age_slice,high_loan_age,0.5407368104605784,0.4969013065566297,0.5777057259654161,30563
30yr TBA Eligible,0.8622911392405062,M1,loan_age_slice,high_loan_age,0.5529188129706911,0.5025134373690676,0.5962568280205915,30563
30yr TBA Eligible,0.9574113924050636,M1,loan_age_slice,high_loan_age,0.5640858163472751,0.5064688715441745,0.6141061333660214,30563
30yr TBA Eligible,1.05253164556962,M1,loan_age_slice,high_loan_age,0.574214080231755,0.5092772489667663,0.6307849347565009,30563
30yr TBA Eligible,1.1476518987341775,M1,loan_age_slice,high_loan_age,0.5832798211042298,0.5110233433332501,0.6462018776499878,30563
30yr TBA Eligible,1.242772151898734,M1,loan_age_slice,high_loan_age,0.5912590648198676,0.5122031257184578,0.6614509610749941,30563
30yr TBA Eligible,1.3378924050632914,M1,loan_age_slice,high_loan_age,0.5981281296437692,0.5120824695418191,0.6747164726643273,30563
30yr TBA Eligible,1.433012658227848,M1,loan_age_slice,high_loan_age,0.6038647403405146,0.5112260670361968,0.6865569978700914,30563
30yr TBA Eligible,1.5281329113924054,M1,loan_age_slice,high_loan_age,0.6084497491275055,0.5110475589814811,0.6964393118994994,30563
30yr TBA Eligible,1.623253164556962,M1,loan_age_slice,high_loan_age,0.6118694175705528,0.5112491376468631,0.7034319598214989,30563
30yr TBA Eligible,1.7183734177215193,M1,loan_age_slice,high_loan_age,0.6141181974828959,0.510120563090688,0.7081384683361946,30563
30yr TBA Eligible,1.8134936708860758,M1,loan_age_slice,high_loan_age,0.6152165550027268,0.5096372962176798,0.7111363830884176,30563
30yr TBA Eligible,1.9086139240506332,M1,loan_age_slice,high_loan_age,0.6152494131450732,0.5093183810896185,0.7114264632977707,30563
30yr TBA Eligible,2.0037341772151898,M1,loan_age_slice,high_loan_age,0.6143269798023058,0.5093192338443853,0.7094639640234046,30563
30yr TBA Eligible,2.098854430379747,M1,loan_age_slice,high_loan_age,0.612570049203908,0.5093324312518521,0.7059328586956015,30563
30yr TBA Eligible,2.1939746835443037,M1,loan_age_slice,high_loan_age,0.6101057358907399,0.5099383616866016,0.7012803947890389,30563
30yr TBA Eligible,2.289094936708861,M1,loan_age_slice,high_loan_age,0.6070637150102528,0.5094615202178465,0.6952561749759112,30563
30yr TBA Eligible,2.3842151898734176,M1,loan_age_slice,high_loan_age,0.6035730420527976,0.5095673858153238,0.688405120301383,30563
30yr TBA Eligible,2.479335443037975,M1,loan_age_slice,high_loan_age,0.599759591037576,0.5098937478684507,0.6797464952722265,30563
30yr TBA Eligible,2.5744556962025316,M1,loan_age_slice,high_loan_age,0.5957441212541699,0.5104241646256447,0.6714477734181323,30563
30yr TBA Eligible,2.669575949367089,M1,loan_age_slice,high_loan_age,0.5916409599548513,0.5108617275455307,0.6633431245630761,30563
30yr TBA Eligible,2.7646962025316455,M1,loan_age_slice,high_loan_age,0.5875572722007408,0.5111484717048698,0.6536440519074538,30563
30yr TBA Eligible,2.859816455696202,M1,loan_age_slice,high_loan_age,0.5835928792154359,0.5116810759965507,0.6464008458607284,30563
30yr TBA Eligible,2.9549367088607594,M1,loan_age_slice,high_loan_age,0.5798405825740568,0.5119900615008333,0.6396319711115206,30563
30yr TBA Eligible,3.050056962025316,M1,loan_age_slice,high_loan_age,0.5763869526477688,0.5117222232391638,0.6323500787411063,30563
30yr TBA Eligible,3.1451772151898734,M1,loan_age_slice,high_loan_age,0.573313545181556,0.5120219502447898,0.6271945703426707,30563
30yr TBA Eligible,3.24029746835443,M1,loan_age_slice,high_loan_age,0.5706985190273697,0.511722883929211,0.6221560529631187,30563
30yr TBA Eligible,3.3354177215189873,M1,loan_age_slice,high_loan_age,0.5686186403856389,0.5116028345456991,0.6182476983570662,30563
30yr TBA Eligible,3.430537974683544,M1,loan_age_slice,high_loan_age,0.5671516741882285,0.5111466641931517,0.615735678396101,30563
30yr TBA Eligible,3.5256582278481012,M1,loan_age_slice,high_loan_age,0.5663791815950456,0.5105169070283577,0.614799548440581,30563
30yr TBA Eligible,3.6207784810126578,M1,loan_age_slice,high_loan_age,0.5663897645119147,0.509870881473351,0.6156372115151743,30563
30yr TBA Eligible,3.715898734177215,M1,loan_age_slice,high_loan_age,0.5672828246332219,0.5086377342235049,0.6184563482271921,30563
30yr TBA Eligible,3.8110189873417717,M1,loan_age_slice,high_loan_age,0.5691729374883577,0.507492643990759,0.62310391970547,30563
30yr TBA Eligible,3.906139240506329,M1,loan_age_slice,high_loan_age,0.5721949838805757,0.5061468100493016,0.6304065477876653,30563
30yr TBA Eligible,4.001259493670886,M1,loan_age_slice,high_loan_age,0.5765102355993974,0.5039400821666207,0.6396574291324564,30563
30yr TBA Eligible,4.096379746835443,M1,loan_age_slice,high_loan_age,0.5823136644857744,0.5016548359998318,0.6540780959837122,30563
30yr TBA Eligible,4.1915,M1,loan_age_slice,high_loan_age,0.5898428409834547,0.498916750261158,0.6714151162479753,30563
30yr TBA Eligible,-3.3229999999999995,M1,loan_age_slice,low_loan_age,0.09905189635284953,0.08869913551607933,0.10912871707462468,30638
30yr TBA Eligible,-3.2278797468354425,M1,loan_age_slice,low_loan_age,0.10358716982918313,0.09303116530688937,0.11381173103983677,30638
30yr TBA Eligible,-3.1327594936708856,M1,loan_age_slice,low_loan_age,0.10813578142708434,0.0972504757264625,0.11852726969147076,30638
30yr TBA Eligible,-3.0376392405063286,M1,loan_age_slice,low_loan_age,0.1126968341303946,0.10147246093473727,0.12349741745513176,30638
30yr TBA Eligible,-2.9425189873417716,M1,loan_age_slice,low_loan_age,0.11727175980478596,0.10606788911150522,0.1287114510120646,30638
30yr TBA Eligible,-2.8473987341772147,M1,loan_age_slice,low_loan_age,0.12186445066374427,0.11094233866285608,0.13320795287574683,30638
30yr TBA Eligible,-2.7522784810126577,M1,loan_age_slice,low_loan_age,0.12648137392475187,0.11491355982388152,0.13761924239624745,30638
30yr TBA Eligible,-2.6571582278481007,M1,loan_age_slice,low_loan_age,0.13113167442165566,0.11882520832625643,0.1422780644047883,30638
30yr TBA Eligible,-2.5620379746835438,M1,loan_age_slice,low_loan_age,0.13582727083790985,0.12283584241684631,0.1474294053070313,30638
30yr TBA Eligible,-2.466917721518987,M1,loan_age_slice,low_loan_age,0.1405829520151414,0.1268334174865382,0.15258251074043994,30638
