Type_of_Security,spread,curve_family,slice_name,n_obs,pred_logit,pred_smm,pred_cpr_pct
20yr TBA Eligible,-0.33333333333333326,duration_slice,high_duration,17,-8.351188808823471,0.00023610495059326787,0.2829581679218919
20yr TBA Eligible,-0.2828282828282829,duration_slice,high_duration,17,-8.323321813412267,0.00024277539921646195,0.2909416407039064
20yr TBA Eligible,-0.23232323232323226,duration_slice,high_duration,17,-8.29415535471623,0.0002499587748452953,0.29953835057602757
20yr TBA Eligible,-0.18181818181818188,duration_slice,high_duration,17,-8.263644664724302,0.0002577007290528555,0.30880277873376855
20yr TBA Eligible,-0.13131313131313127,duration_slice,high_duration,17,-8.231744975425427,0.0002660516012811009,0.31879498508568826
20yr TBA Eligible,-0.08080808080808088,duration_slice,high_duration,17,-8.198411518808541,0.0002750670029397029,0.32958130078636483
20yr TBA Eligible,-0.030303030303030276,duration_slice,high_duration,17,-8.163599526862589,0.0002848084813237679,0.3412351148742159
20yr TBA Eligible,0.020202020202020332,duration_slice,high_duration,17,-8.127264231576515,0.00029534427547518575,0.3538377691933979
20yr TBA Eligible,0.0707070707070705,duration_slice,high_duration,17,-8.089360864939257,0.0003067501781296294,0.3674795781110662
20yr TBA Eligible,0.1212121212121211,duration_slice,high_duration,17,-8.049844658939756,0.00031911052027005897,0.3822609922833336
20yr TBA Eligible,0.1717171717171717,duration_slice,high_duration,17,-8.008670845566956,0.0003325192976176002,0.3982939289531215
20yr TBA Eligible,0.22222222222222232,duration_slice,high_duration,17,-7.965794656809798,0.0003470814617157875,0.415703295074903
20yr TBA Eligible,0.2727272727272725,duration_slice,high_duration,17,-7.921171324657223,0.00036291440220570346,0.4346287340606348
20yr TBA Eligible,0.3232323232323231,duration_slice,high_duration,17,-7.874756081098176,0.0003801496515700306,0.4552266322681621
20yr TBA Eligible,0.3737373737373737,duration_slice,high_duration,17,-7.826504158121592,0.00039893484919186205,0.4776724276601468
20yr TBA Eligible,0.4242424242424243,duration_slice,high_duration,17,-7.7763707877164165,0.0004194360082093682,0.5021632705458053
20yr TBA Eligible,0.4747474747474749,duration_slice,high_duration,17,-7.724311201871593,0.00044184013656908166,0.5289210952058234
20yr TBA Eligible,0.5252525252525251,duration_slice,high_duration,17,-7.670280632576059,0.00046635827315511376,0.5581961717720995
20yr TBA Eligible,0.5757575757575757,duration_slice,high_duration,17,-7.614234311818759,0.0004932290112243654,0.5902712203224358
20yr TBA Eligible,0.6262626262626263,duration_slice,high_duration,17,-7.556127471588633,0.000522722595006068,0.6254661841556699
20yr TBA Eligible,0.6767676767676769,duration_slice,high_duration,17,-7.495915343874623,0.0005551456917142497,0.6641437771198939
20yr TBA Eligible,0.7272727272727271,duration_slice,high_duration,17,-7.433553160665673,0.0005908469609705196,0.7067159412563071
20yr TBA Eligible,0.7777777777777777,duration_slice,high_duration,17,-7.368996153950721,0.0006302235674745816,0.7536513765893704
20yr TBA Eligible,0.8282828282828283,duration_slice,high_duration,17,-7.302199555718708,0.0006737288115927332,0.805484335480025
20yr TBA Eligible,0.8787878787878789,duration_slice,high_duration,17,-7.23311859795858,0.0007218810874714242,0.8628249105605771
20yr TBA Eligible,0.9292929292929291,duration_slice,high_duration,17,-7.161708512659277,0.0007752744206954367,0.9263710890829224
20yr TBA Eligible,0.9797979797979797,duration_slice,high_duration,17,-7.087924531809738,0.0008345908890943764,0.9969228989530964
20yr TBA Eligible,1.0303030303030303,duration_slice,high_duration,17,-7.011721887398906,0.0009006152931569379,1.0753990344660305
20yr TBA Eligible,1.0808080808080809,duration_slice,high_duration,17,-6.933055811415723,0.0009742525192440672,1.1628564247586386
20yr TBA Eligible,1.131313131313131,duration_slice,high_duration,17,-6.851881535849132,0.0010565481326329227,1.2605132975362112
20yr TBA Eligible,1.1818181818181817,duration_slice,high_duration,17,-6.768154292688073,0.0011487128523932117,1.369776397295617
20yr TBA Eligible,1.2323232323232323,duration_slice,high_duration,17,-6.681829313921486,0.001252151701198109,1.49227314397743
20yr TBA Eligible,1.2828282828282829,duration_slice,high_duration,17,-6.592861831538316,0.0013684987966336862,1.6298896678861563
20yr TBA Eligible,1.3333333333333335,duration_slice,high_duration,17,-6.501207077527503,0.0014996589641580091,1.7848158331054798
20yr TBA Eligible,1.3838383838383836,duration_slice,high_duration,17,-6.4068202838779875,0.0016478576152530711,1.9595985676413226
20yr TBA Eligible,1.4343434343434343,duration_slice,high_duration,17,-6.309656682578712,0.0018157006595760385,2.157205056701605
20yr TBA Eligible,1.4848484848484849,duration_slice,high_duration,17,-6.20967150561862,0.00200624662208495,2.38109762706456
20yr TBA Eligible,1.5353535353535355,duration_slice,high_duration,17,-6.106819984986649,0.0022230936339000637,2.6353224540243843
20yr TBA Eligible,1.5858585858585856,duration_slice,high_duration,17,-6.001057352671745,0.0024704845823122117,2.9246145520333795
20yr TBA Eligible,1.6363636363636362,duration_slice,high_duration,17,-5.892338840662847,0.002753434469665276,3.2545218524423825
20yr TBA Eligible,1.6868686868686869,duration_slice,high_duration,17,-5.780619680948896,0.0030778849783607374,3.6315515010689765
20yr TBA Eligible,1.7373737373737375,duration_slice,high_duration,17,-5.665855105518836,0.00345089241356606,4.063341779917202
20yr TBA Eligible,1.7878787878787876,duration_slice,high_duration,17,-5.548000346361608,0.0038808566494393606,4.5588631968780104
20yr TBA Eligible,1.8383838383838382,duration_slice,high_duration,17,-5.427010635466152,0.004377800502717939,5.128652175369086
20yr TBA Eligible,1.8888888888888888,duration_slice,high_duration,17,-5.3028412048214095,0.004953711175093665,5.7850802262362615
20yr TBA Eligible,1.9393939393939394,duration_slice,high_duration,17,-5.175447286416324,0.005622958130638997,6.542660211827589
20yr TBA Eligible,1.9898989898989896,duration_slice,high_duration,17,-5.044784112239838,0.006402805104803493,7.418388889776353
20yr TBA Eligible,2.0404040404040407,duration_slice,high_duration,17,-4.9108069142808874,0.007314037980979937,8.432120724171924
20yr TBA Eligible,2.090909090909091,duration_slice,high_duration,17,-4.77347092452842,0.008381735118386635,9.606961073159253
20yr TBA Eligible,2.141414141414141,duration_slice,high_duration,17,-4.632731374971377,0.009636212445281124,10.969656044964893
20yr TBA Eligible,2.191919191919192,duration_slice,high_duration,17,-4.488543497598695,0.011114182257831982,12.550939860909931
20yr TBA Eligible,2.242424242424242,duration_slice,high_duration,17,-4.34086252439932,0.012860172078457913,14.385776301157186
20yr TBA Eligible,2.2929292929292933,duration_slice,high_duration,17,-4.189643687362191,0.014928257794424294,16.51339617871314
20yr TBA Eligible,2.3434343434343434,duration_slice,high_duration,17,-4.034842218476253,0.017384172894056256,18.976985224275317
20yr TBA Eligible,2.3939393939393936,duration_slice,high_duration,17,-3.8764133497304454,0.0203078615694956,21.822814650505123
20yr TBA Eligible,2.4444444444444446,duration_slice,high_duration,17,-3.7143123131137084,0.023796545337368823,25.0985313307345
20yr TBA Eligible,2.494949494949495,duration_slice,high_duration,17,-3.5484943406149867,0.027968366577365747,28.850243993792283
20yr TBA Eligible,2.545454545454545,duration_slice,high_duration,17,-3.3789146642232204,0.032966651459542015,33.11797708751391
20yr TBA Eligible,2.595959595959596,duration_slice,high_duration,17,-3.2055285159273477,0.03896478898352688,37.929058217821535
